generalization,everyone
generalization,noone
generalization,someone
generalization,anyone
generalization,impossible
generalization,should be
generalization,no one
generalization,always
generalization,every
generalization,all
generalization,most
generalization,only
generalization,numerous
generalization,huge
journalism cliches,at first glance
journalism cliches,at first blush
journalism cliches,as a society
journalism cliches,as a nation
journalism cliches,upon deeper reflection
journalism cliches,observer
journalism cliches,is no exception
journalism cliches,pundits say
journalism cliches,a rare window
journalism cliches,begs the question
journalism cliches,be that as it may
journalism cliches,if you will
